01.11.1;Blé
01.11.2;Maïs
01.11.3;Orge, seigle et avoine
01.11.4;Sorgho, millet et autres céréales
01.11.5;Paille et balles de céréales
01.11.6;Légumes à cosse, verts
01.11.7;Légumes à cosse, secs
01.11.8;Fèves de soja et arachides
01.11.9;Autres oléagineux
01.12.1;Riz, non décortiqué
01.13.1;Légumes à feuilles ou à tiges
01.13.2;Melons
01.13.3;Autres légumes à fruits
01.13.4;Légumes à racine, à bulbe ou à tubercules
01.13.5;Racines et tubercules à amidon ou inuline comestibles
01.13.6;Plants et semences potagers, à l'exclusion des semences de betteraves
01.13.7;Betteraves à sucre et semences de betteraves à sucre
01.13.8;Champignons et truffes
01.13.9;Légumes frais n.c.a.
01.14.1;Cannes à sucre
01.15.1;Tabac brut
01.16.1;Plantes textiles
01.19.1;Plantes fourragères
01.19.2;"Fleurs coupées et boutons de fleurs ; semences florales"
01.19.3;Semences de betteraves et de plantes fourragères, autres produits végétaux bruts
01.21.1;Raisin
01.22.1;Fruits tropicaux et subtropicaux
01.23.1;Agrumes
01.24.1;Pommes
01.24.2;Autres fruits à pépins et à noyau
01.25.1;Baies et fruits du genre vaccinium
01.25.2;Semences fruitières
01.25.3;Fruits à coque (à l'exclusion des noix sauvages, arachides et noix de coco)
01.25.9;Autres fruits d'arbres ou d'arbustes n.c.a.
01.26.1;Olives
01.26.2;Noix de coco
01.26.9;Autres fruits oléagineux
01.27.1;Plantes à boissons
01.28.1;Épices, brutes
01.28.2;Houblon en cônes
01.28.3;Plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires
01.29.1;Caoutchouc naturel brut
01.29.2;Arbres de noël coupés
01.29.3;Matières premières végétales utilisées principalement pour la vannerie, le rembourrage, la teinture ou le tannage
01.30.1;"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon"
01.41.1;Vaches laitières, vivantes
01.41.2;Lait de vache, brut
01.42.1;Autres bovins et buffles, vivants
01.42.2;Sperme de taureau et de buffle
01.43.1;Chevaux et autres équidés, vivants
01.44.1;Chameaux et autres camélidés, vivants
01.45.1;Ovins et caprins, vivants
01.45.2;Lait de brebis et de chèvre, brut
01.45.3;Laine en suint et poils d'ovins et de caprins
01.46.1;Porcins, vivants
01.47.1;Volailles, vivantes
01.47.2;Œufs, en coquille, frais
01.49.1;Autres animaux d'élevage, vivants
01.49.2;Autres produits d'origine animale
01.49.3;Peaux et fourrures
01.61.1;Services de soutien aux cultures
01.62.1;Services de soutien à la production animale
01.63.1;Traitement primaire des récoltes
01.64.1;Traitement des semences
01.70.1;Chasse, piégeage et services annexes
02.10.1;"Plants d'arbres forestiers ; semences d'arbres forestiers"
02.10.2;Services des pépinières forestières
02.10.3;Arbres forestiers
02.20.1;Bois brut
02.30.1;Gommes naturelles
02.30.2;Liège naturel, brut ou simplement préparé
02.30.3;Parties de plantes, herbes, mousses et lichens utilisables à des fins ornementales
02.30.4;Produits forestiers comestibles
02.40.1;Services de soutien à l'exploitation forestière
03.00.1;Poissons, vivants, non destinés à l'alimentation humaine
03.00.2;Poissons, vivants, frais ou réfrigérés, destinés à l'alimentation humaine
03.00.3;Crustacés, non congelés ou surgelés
03.00.4;Mollusques et autres invertébrés aquatiques vivants, frais ou réfrigérés
03.00.5;Perles, brutes
03.00.6;Autres plantes et animaux aquatiques et leurs produits
03.00.7;Services de soutien à la pêche et à l'aquaculture
05.10.1;Houille
05.20.1;Lignite
06.10.1;Huiles brutes de pétrole ou de minéraux bitumineux
06.10.2;Sables et schistes bitumineux
06.20.1;Gaz naturel, liquéfié ou gazeux
07.10.1;Minerais de fer
07.21.1;Minerais d'uranium et de thorium
07.29.1;Autres minerais métalliques
08.11.1;Pierres ornementales ou de construction
08.11.2;Calcaire industriel et gypse
08.11.3;Craie et dolomie crue
08.11.4;Ardoise
08.12.1;Sables et granulats
08.12.2;Argiles et kaolin
08.91.1;Minéraux chimiques et engrais minéraux
08.92.1;Tourbe
