CPF rév. 2.1, 2015 - Niveau 4 - Liste des classes;
CODE;LIBELLE
01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux
01.12;Riz, non décortiqué
01.13;Légumes et melons, racines et tubercules
01.14;Cannes à sucre
01.15;Tabac brut
01.16;Plantes textiles
01.19;Autres cultures non permanentes
01.21;Raisin
01.22;Fruits tropicaux et subtropicaux
01.23;Agrumes
01.24;Fruits à pépins et à noyau
01.25;Autres fruits d'arbres ou d'arbustes et fruits à coque
01.26;Fruits oléagineux
01.27;Plantes à boissons
01.28;Plantes à épices, aromatiques, médicinales et pharmaceutiques
01.29;Autres cultures permanentes
01.30;"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon"
01.41;Vaches laitières, vivantes et lait de vache, brut
01.42;Autres bovins et buffles, vivants et leur sperme
01.43;Chevaux et autres équidés, vivants
01.44;Chameaux et autres camélidés, vivants
01.45;"Ovins et caprins, vivants ; lait de brebis et de chèvre brut, laine en suint et poils d'ovins et de caprins"
01.46;Porcins, vivants
01.47;Volailles vivantes et œufs
01.49;Autres animaux d'élevage et produits d'origine animale
01.61;Services de soutien aux cultures
01.62;Services de soutien à la production animale
01.63;Traitement primaire des récoltes
01.64;Traitement des semences
01.70;Chasse, piégeage et services annexes
02.10;Arbres forestiers et services des pépinières
02.20;Bois brut
02.30;Autres produits forestiers
02.40;Services de soutien à l'exploitation forestière
03.00;"Produits de la pêche et de l'aquaculture ; services de soutien à la pêche"
05.10;Houille
05.20;Lignite
06.10;Pétrole brut
06.20;Gaz naturel, liquéfié ou gazeux
07.10;Minerais de fer
07.21;Minerais d'uranium et de thorium
07.29;Autres minerais métalliques
08.11;Pierres ornementales ou de construction, calcaire industriel, gypse, craie et ardoise
08.12;Sables et granulats, argiles et kaolin
08.91;Minéraux chimiques et engrais minéraux
08.92;Tourbe
08.93;"Sel et chlorure de sodium pur ; eau de mer"
08.99;Autres produits des industries extractives n.c.a.
09.10;Services de soutien à l'extraction d'hydrocarbures
09.90;Services de soutien aux autres industries extractives
10.11;Viandes de boucherie et produits d'abattage
10.12;Viandes de volailles
10.13;Produits à base de viande
10.20;Préparations et conserves à base de poisson et de produits de la pêche
10.31;Préparations et conserves à base de pommes de terre
10.32;Jus de fruits et légumes
