CPF rév. 2.1, 2015 - Niveau 2 - Liste des divisions;
CODE;LIBELLE
1;Produits de l'agriculture et de la chasse et services annexes
2;Produits sylvicoles et services annexes
3;"Produits de la pêche et de l'aquaculture ; services de soutien à la pêche"
5;Houille et lignite
6;Hydrocarbures
7;Minerais métalliques
8;Autres produits des industries extractives
9;Services de soutien aux industries extractives
10;Produits des industries alimentaires
11;Boissons
12;Produits à base de tabac
13;Produits de l'industrie textile
14;Articles d'habillement
15;Cuir et articles en cuir
16;"Bois, articles en bois et en liège, à l'exclusion des meubles ; articles de vannerie et de sparterie"
17;Papier et carton
18;Travaux d'impression et de reproduction
19;Produits de la cokéfaction et du raffinage
20;Produits chimiques
21;Produits pharmaceutiques de base et préparations pharmaceutiques
22;Produits en caoutchouc et en plastique
23;Autres produits minéraux non métalliques
24;Produits métallurgiques
25;Produits métalliques, à l'exclusion des machines et équipements
26;Produits informatiques, électroniques et optiques
27;Équipements électriques
28;Machines et équipements n.c.a.
29;Véhicules automobiles, remorques et semi-remorques
30;Autres matériels de transport
31;Meubles
32;Autres produits manufacturés
33;Réparation et installation de machines et d'équipements
35;Électricité, gaz, vapeur et air conditionné
36;"Eau naturelle ; traitement et distribution d'eau"
37;"Collecte et traitement des eaux usées ; boues d'épuration"
38;"Collecte, traitement et élimination des déchets ; récupération de matériaux"
39;Dépollution et autres services de gestion des déchets
41;Bâtiments et travaux de construction de bâtiments
42;Ouvrages et travaux de construction relatifs au génie civil
43;Travaux de construction spécialisés
45;Commerce et réparation d'automobiles et de motocycles
46;Commerce de gros, à l'exclusion des automobiles et des motocycles
47;Commerce de détail, à l'exclusion des automobiles et des motocycles
49;Transports terrestres et transports par conduites
50;Transport par eau
51;Transports aériens
52;Entreposage et services auxiliaires des transports
53;Services de poste et de courrier
55;Services d'hébergement
56;Services de restauration et de débits de boissons
58;Édition
59;"Production de films cinématographiques, de vidéos et de programmes de télévision ; enregistrement sonore et édition musicale"
60;Programmation et diffusion
61;Services de télécommunications
62;Programmation, conseil et autres activités informatiques
63;Services d'information
64;Services financiers, hors assurances et caisses de retraite
65;Services d'assurance, de réassurance et de caisses de retraite, à l'exclusion de la sécurité sociale obligatoire
66;Services auxiliaires aux services financiers et aux assurances
68;Services immobiliers
69;Services juridiques et comptables
70;"Services des sièges sociaux ; services de conseil en gestion"
71;"Services d'architecture et d'ingénierie ; services de contrôle et analyses techniques"
72;Recherche et développement scientifique
73;Services de publicité et d'études de marché
74;Autres services spécialisés, scientifiques et techniques
75;Services vétérinaires
77;Location et location-bail
78;Services liés à l'emploi
79;Services des agences de voyage, des voyagistes et autres services de réservation et services connexes
80;Services de sécurité et d'enquête
81;Services relatifs aux bâtiments et aménagement paysager
82;Services administratifs et autres services de soutien aux entreprises
84;"Services d'administration publique et de défense ; services de sécurité sociale obligatoire"
85;Services de l'enseignement
86;Services de santé humaine
87;Services d'hébergement médico-social et social
88;Services d'action sociale sans hébergement
90;Services créatifs, artistiques et du spectacle
91;Services des bibliothèques, archives, musées et autres services culturels
92;Jeux de hasard et d'argent
93;Services sportifs, récréatifs et de loisirs
94;Services fournis par des organisations associatives
95;Services de réparation d'ordinateurs et de biens personnels et domestiques
96;Autres services personnels
97;Services des ménages en tant qu'employeurs de personnel domestique
98;Biens et services divers produits par les ménages privés pour leur usage propre
99;Services extra-territoriaux
