01.1;Cultures non permanentes
01.2;Cultures permanentes
01.3;"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon"
01.4;Produits de l'élevage
01.6;Services annexes à l'agriculture et à l'élevage (à l'exclusion des services vétérinaires)
01.7;Chasse, piégeage et services annexes
02.1;Arbres forestiers et services des pépinières
02.2;Bois brut
02.3;Autres produits forestiers
02.4;Services de soutien à l'exploitation forestière
03.0;"Produits de la pêche et de l'aquaculture ; services de soutien à la pêche"
05.1;Houille
05.2;Lignite
06.1;Pétrole brut
06.2;Gaz naturel, liquéfié ou gazeux
07.1;Minerais de fer
07.2;Minerais de métaux non ferreux
08.1;Pierres, sables et argiles
08.9;Produits des industries extractives n.c.a.
09.1;Services de soutien à l'extraction d'hydrocarbures
09.9;Services de soutien aux autres industries extractives
10.1;Viande et produits à base de viande
10.2;Préparations et conserves à base de poisson et de produits de la pêche
10.3;Produits à base de fruits et légumes
10.4;Huiles et graisses végétales et animales
10.5;Produits laitiers
10.6;Produits du travail des grains et produits amylacés
10.7;Produits de boulangerie-pâtisserie et pâtes alimentaires
10.8;Autres produits alimentaires
10.9;Aliments pour animaux
11.0;Boissons
12.0;Produits à base de tabac
13.1;Fils et filés
13.2;Tissus
13.3;Ennoblissement textile
13.9;Autres textiles
14.1;Articles d'habillement, à l'exclusion des fourrures
14.2;Articles en fourrure
14.3;Articles à mailles
15.1;"Cuirs et peaux tannés et apprêtés ; articles de voyage et de maroquinerie, articles de sellerie et de bourrellerie ; peaux apprêtées et teintées"
15.2;Chaussures
16.1;Bois, sciés et rabotés
16.2;Articles en bois, liège, vannerie et sparterie
17.1;Pâte à papier, papier et carton
17.2;Articles en papier ou en carton
18.1;Travaux d'impression et services connexes
18.2;Reproduction d'enregistrements
19.1;Produits de la cokéfaction
19.2;Produits du raffinage du pétrole
20.1;Produits chimiques de base, engrais et produits azotés, matières plastiques de base et caoutchouc synthétique
20.2;Pesticides et autres produits agrochimiques
20.3;Peintures, vernis et revêtements similaires, encres d'imprimerie et mastics
20.4;Savons, produits d'entretien et parfums
20.5;Autres produits chimiques
20.6;Fibres artificielles ou synthétiques
21.1;Produits pharmaceutiques de base
21.2;Préparations pharmaceutiques
22.1;Produits en caoutchouc
22.2;Produits en plastique
23.1;Verre et articles en verre
23.2;Produits réfractaires
23.3;Matériaux de construction en terre cuite
23.4;Autres produits en porcelaine et céramique
23.5;Ciment, chaux et plâtre
