CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
CODE;LIBELLE
01.11.11;Blé dur
01.11.12;Blé, à l'exclusion du blé dur
01.11.20;Maïs
01.11.31;Orge
01.11.32;Seigle
01.11.33;Avoine
01.11.41;Sorgho
01.11.42;Millet
01.11.43;Triticale
01.11.49;Autres céréales
01.11.50;Paille et balles de céréales
01.11.61;Haricots, verts
01.11.62;Pois, verts
01.11.69;Autres légumes à cosse, verts
01.11.71;Haricots, secs
01.11.72;Fèves, sèches
01.11.73;Pois chiches, secs
01.11.74;Lentilles, sèches
01.11.75;Pois, secs
01.11.76;Dolique à œil noir (pois du brésil, niébé)
01.11.77;Pois d'ambrevade ou pois d'angole, secs
01.11.79;Légumes à cosse, secs n.c.a.
01.11.81;Fèves de soja
01.11.82;Arachides, en coque
01.11.91;Graines de lin
01.11.92;Graines de moutarde
01.11.93;Graines de colza
01.11.94;Graines de sésame
01.11.95;Graines de tournesol
01.11.96;Graines de ricin
01.11.99;Autres oléagineux n.c.a.
01.12.10;Riz, non décortiqué
01.13.11;Asperges
01.13.12;Choux
01.13.13;Choux-fleurs et brocolis
01.13.14;Laitues
01.13.15;Chicorées
01.13.16;Épinards
01.13.17;Artichauts
01.13.19;Autres légumes à feuilles ou à tiges
01.13.21;Pastèques
01.13.29;Autres melons
01.13.31;Piments et poivrons, verts (uniquement capsicum)
01.13.32;Concombres et cornichons
01.13.33;Aubergines
01.13.34;Tomates
01.13.39;Autres légumes à fruits n.c.a.
01.13.41;Carottes et navets
01.13.42;Ail
01.13.43;Oignons
01.13.44;Poireaux et autres alliacés
01.13.49;Autres légumes à racine, à bulbe ou à tubercules (ne présentant pas une forte teneur en amidon ou inuline)
01.13.51;Pommes de terre
01.13.52;Patates douces
01.13.53;Manioc
01.13.54;Colocases
01.13.59;Autres racines et tubercules à amidon ou inuline comestibles
01.13.60;Plants et semences potagers, à l'exclusion des semences de betteraves
01.13.71;Betteraves à sucre
01.13.72;Semences de betteraves à sucre
01.13.80;Champignons et truffes
01.13.90;Légumes frais n.c.a.
01.14.10;Cannes à sucre
01.15.10;Tabac brut
01.16.11;Coton, égrené ou en masse
01.16.12;Jute, kénaf et autres fibres libériennes, bruts ou rouis, à l'exclusion du lin, du chanvre commun et de la ramie
01.16.19;Lin, chanvre commun et plantes textiles brutes n.c.a.
01.19.10;Plantes fourragères
01.19.21;Fleurs coupées et boutons de fleurs
01.19.22;Semences florales
01.19.31;Semences de betteraves (à l'exclusion des semences de betteraves à sucre) et de plantes fourragères
01.19.39;Produits végétaux bruts n.c.a.
01.21.11;Raisin de table
01.21.12;Autre raisin, frais
01.22.11;Avocats
01.22.12;Bananes, bananes plantains et assimilés
01.22.13;Dattes
01.22.14;Figues
